  Current Time (s),Current Time (years),Pore Volume,Phase1-S8- Volume rate,Phase1-S8- Cumulative production
 0.48420000000E+05,0.15353881279E-02,0.16000000000E-03,0.55499993338E-08,0.26873096774E-03
 0.48510000000E+05,0.15382420091E-02,0.16000000000E-03,0.55499993338E-08,0.26923046768E-03
 0.48600000000E+05,0.15410958904E-02,0.16000000000E-03,0.55499993338E-08,0.26972996762E-03
 0.48690000000E+05,0.15439497717E-02,0.16000000000E-03,0.55499993338E-08,0.27022946756E-03
 0.48780000000E+05,0.15468036530E-02,0.16000000000E-03,0.55499993338E-08,0.27072896750E-03
 0.48870000000E+05,0.15496575342E-02,0.16000000000E-03,0.55499993338E-08,0.27122846744E-03
 0.48960000000E+05,0.15525114155E-02,0.16000000000E-03,0.55499993338E-08,0.27172796738E-03
 0.49050000000E+05,0.15553652968E-02,0.16000000000E-03,0.55499993338E-08,0.27222746732E-03
 0.49140000000E+05,0.15582191781E-02,0.16000000000E-03,0.55499993338E-08,0.27272696726E-03
 0.49230000000E+05,0.15610730594E-02,0.16000000000E-03,0.55499993338E-08,0.27322646720E-03
 0.49320000000E+05,0.15639269406E-02,0.16000000000E-03,0.55499993338E-08,0.27372596714E-03
 0.49410000000E+05,0.15667808219E-02,0.16000000000E-03,0.55499993338E-08,0.27422546708E-03
 0.49500000000E+05,0.15696347032E-02,0.16000000000E-03,0.55499993338E-08,0.27472496702E-03
 0.49590000000E+05,0.15724885845E-02,0.16000000000E-03,0.55499993338E-08,0.27522446696E-03
 0.49680000000E+05,0.15753424658E-02,0.16000000000E-03,0.55499993338E-08,0.27572396690E-03
 0.49770000000E+05,0.15781963470E-02,0.16000000000E-03,0.55499993338E-08,0.27622346684E-03
 0.49860000000E+05,0.15810502283E-02,0.16000000000E-03,0.55499993338E-08,0.27672296678E-03
 0.49950000000E+05,0.15839041096E-02,0.16000000000E-03,0.55499993338E-08,0.27722246672E-03
 0.50040000000E+05,0.15867579909E-02,0.16000000000E-03,0.55499993338E-08,0.27772196666E-03
 0.50130000000E+05,0.15896118721E-02,0.16000000000E-03,0.55499993338E-08,0.27822146660E-03
 0.50220000000E+05,0.15924657534E-02,0.16000000000E-03,0.55499993338E-08,0.27872096654E-03
 0.50310000000E+05,0.15953196347E-02,0.16000000000E-03,0.55499993338E-08,0.27922046648E-03
 0.50400000000E+05,0.15981735160E-02,0.16000000000E-03,0.55499993338E-08,0.27971996642E-03
 0.50490000000E+05,0.16010273973E-02,0.16000000000E-03,0.55499993338E-08,0.28021946636E-03
 0.50580000000E+05,0.16038812785E-02,0.16000000000E-03,0.55499993338E-08,0.28071896630E-03
 0.50670000000E+05,0.16067351598E-02,0.16000000000E-03,0.55499993338E-08,0.28121846624E-03
 0.50760000000E+05,0.16095890411E-02,0.16000000000E-03,0.55499993338E-08,0.28171796618E-03
 0.50850000000E+05,0.16124429224E-02,0.16000000000E-03,0.55499993338E-08,0.28221746612E-03
 0.50940000000E+05,0.16152968037E-02,0.16000000000E-03,0.55499993338E-08,0.28271696606E-03
 0.51030000000E+05,0.16181506849E-02,0.16000000000E-03,0.55499993338E-08,0.28321646600E-03
 0.51120000000E+05,0.16210045662E-02,0.16000000000E-03,0.55499993338E-08,0.28371596594E-03
 0.51210000000E+05,0.16238584475E-02,0.16000000000E-03,0.55499993338E-08,0.28421546588E-03
 0.51300000000E+05,0.16267123288E-02,0.16000000000E-03,0.55499993338E-08,0.28471496582E-03
 0.51390000000E+05,0.16295662100E-02,0.16000000000E-03,0.55499993338E-08,0.28521446576E-03
 0.51480000000E+05,0.16324200913E-02,0.16000000000E-03,0.55499993338E-08,0.28571396570E-03
 0.51570000000E+05,0.16352739726E-02,0.16000000000E-03,0.55499993338E-08,0.28621346564E-03
 0.51660000000E+05,0.16381278539E-02,0.16000000000E-03,0.55499993338E-08,0.28671296558E-03
 0.51750000000E+05,0.16409817352E-02,0.16000000000E-03,0.55499993338E-08,0.28721246552E-03
 0.51840000000E+05,0.16438356164E-02,0.16000000000E-03,0.55499993338E-08,0.28771196546E-03
 0.51930000000E+05,0.16466894977E-02,0.16000000000E-03,0.55499993338E-08,0.28821146540E-03
 0.52020000000E+05,0.16495433790E-02,0.16000000000E-03,0.55499993338E-08,0.28871096534E-03
 0.52110000000E+05,0.16523972603E-02,0.16000000000E-03,0.55499993338E-08,0.28921046528E-03
 0.52200000000E+05,0.16552511416E-02,0.16000000000E-03,0.55499993338E-08,0.28970996522E-03
 0.52290000000E+05,0.16581050228E-02,0.16000000000E-03,0.55499993338E-08,0.29020946516E-03
 0.52380000000E+05,0.16609589041E-02,0.16000000000E-03,0.55499993338E-08,0.29070896510E-03
 0.52470000000E+05,0.16638127854E-02,0.16000000000E-03,0.55499993338E-08,0.29120846504E-03
 0.52560000000E+05,0.16666666667E-02,0.16000000000E-03,0.55499993338E-08,0.29170796498E-03
 0.52650000000E+05,0.16695205479E-02,0.16000000000E-03,0.55499993338E-08,0.29220746492E-03
 0.52740000000E+05,0.16723744292E-02,0.16000000000E-03,0.55499993338E-08,0.29270696486E-03
 0.52830000000E+05,0.16752283105E-02,0.16000000000E-03,0.55499993338E-08,0.29320646480E-03
 0.52920000000E+05,0.16780821918E-02,0.16000000000E-03,0.55499993338E-08,0.29370596474E-03
 0.53010000000E+05,0.16809360731E-02,0.16000000000E-03,0.55499993338E-08,0.29420546468E-03
 0.53100000000E+05,0.16837899543E-02,0.16000000000E-03,0.55499993338E-08,0.29470496462E-03
 0.53190000000E+05,0.16866438356E-02,0.16000000000E-03,0.55499993338E-08,0.29520446456E-03
 0.53280000000E+05,0.16894977169E-02,0.16000000000E-03,0.55499993338E-08,0.29570396450E-03
 0.53370000000E+05,0.16923515982E-02,0.16000000000E-03,0.55499993338E-08,0.29620346444E-03
 0.53460000000E+05,0.16952054795E-02,0.16000000000E-03,0.55499993338E-08,0.29670296438E-03
 0.53550000000E+05,0.16980593607E-02,0.16000000000E-03,0.55499993338E-08,0.29720246432E-03
 0.53640000000E+05,0.17009132420E-02,0.16000000000E-03,0.55499993338E-08,0.29770196426E-03
 0.53730000000E+05,0.17037671233E-02,0.16000000000E-03,0.55499993338E-08,0.29820146420E-03
 0.53820000000E+05,0.17066210046E-02,0.16000000000E-03,0.55499993338E-08,0.29870096414E-03
 0.53910000000E+05,0.17094748858E-02,0.16000000000E-03,0.55499993338E-08,0.29920046408E-03
 0.54000000000E+05,0.17123287671E-02,0.16000000000E-03,0.55499993338E-08,0.29969996402E-03
 0.54090000000E+05,0.17151826484E-02,0.16000000000E-03,0.55499993338E-08,0.30019946396E-03
 0.54180000000E+05,0.17180365297E-02,0.16000000000E-03,0.55499993338E-08,0.30069896390E-03
 0.54270000000E+05,0.17208904110E-02,0.16000000000E-03,0.55499993338E-08,0.30119846384E-03
 0.54360000000E+05,0.17237442922E-02,0.16000000000E-03,0.55499993338E-08,0.30169796378E-03
 0.54450000000E+05,0.17265981735E-02,0.16000000000E-03,0.55499993338E-08,0.30219746372E-03
 0.54540000000E+05,0.17294520548E-02,0.16000000000E-03,0.55499993338E-08,0.30269696366E-03
 0.54630000000E+05,0.17323059361E-02,0.16000000000E-03,0.55499993338E-08,0.30319646360E-03
 0.54720000000E+05,0.17351598174E-02,0.16000000000E-03,0.55499993338E-08,0.30369596354E-03
 0.54810000000E+05,0.17380136986E-02,0.16000000000E-03,0.55499993338E-08,0.30419546348E-03
 0.54900000000E+05,0.17408675799E-02,0.16000000000E-03,0.55499993338E-08,0.30469496342E-03
 0.54990000000E+05,0.17437214612E-02,0.16000000000E-03,0.55499993338E-08,0.30519446336E-03
 0.55080000000E+05,0.17465753425E-02,0.16000000000E-03,0.55499993338E-08,0.30569396330E-03
 0.55170000000E+05,0.17494292237E-02,0.16000000000E-03,0.55499993338E-08,0.30619346324E-03
 0.55260000000E+05,0.17522831050E-02,0.16000000000E-03,0.55499993338E-08,0.30669296318E-03
 0.55350000000E+05,0.17551369863E-02,0.16000000000E-03,0.55499993338E-08,0.30719246312E-03
 0.55440000000E+05,0.17579908676E-02,0.16000000000E-03,0.55499993338E-08,0.30769196306E-03
 0.55530000000E+05,0.17608447489E-02,0.16000000000E-03,0.55499993338E-08,0.30819146300E-03
 0.55620000000E+05,0.17636986301E-02,0.16000000000E-03,0.55499993338E-08,0.30869096294E-03
 0.55710000000E+05,0.17665525114E-02,0.16000000000E-03,0.55499993338E-08,0.30919046288E-03
 0.55800000000E+05,0.17694063927E-02,0.16000000000E-03,0.55499993338E-08,0.30968996282E-03
 0.55890000000E+05,0.17722602740E-02,0.16000000000E-03,0.55499993338E-08,0.31018946276E-03
 0.55980000000E+05,0.17751141553E-02,0.16000000000E-03,0.55499993338E-08,0.31068896270E-03
